unid+sku	UNID RESULTADO	SKU FINAL
AM CN-40.05.0001	AM CN	40.05.0001
AM CN-40.05.0031	AM CN	40.05.0031
AM CN-40.05.0041	AM CN	40.05.0041
AM CN-40.05.0061	AM CN	40.05.0061
AM CN-40.05.1100	AM CN	40.05.1100
AM CN-40.05.1101	AM CN	40.05.1101
AM CN-40.05.2100	AM CN	40.05.2100
AM CN-40.05.2101	AM CN	40.05.2101
AM CN-40.05.2103	AM CN	40.05.2103
AM CN-40.05.2106	AM CN	40.05.2106
AM CN-40.06.0051	AM CN	40.06.0051
AM CN-40.06.0052	AM CN	40.06.0052
AM CN-40.10.0002	AM CN	40.10.0002
AM CN-40.12.0014	AM CN	40.12.0014
AM CN-40.16.0014	AM CN	40.16.0014
AM CN-40.16.0016	AM CN	40.16.0016
AM CN-40.31.0001	AM CN	40.31.0001
AM CN-51.110A81091	AM CN	51.110A81091
AM FN FR-40.05.0001	AM FN FR	40.05.0001
AM FN FR-40.05.0026	AM FN FR	40.05.0026
AM FN FR-40.05.0061	AM FN FR	40.05.0061
AM FN FR-40.05.0150	AM FN FR	40.05.0150
AM FN FR-40.05.1001	AM FN FR	40.05.1001
AM FN FR-40.05.1100	AM FN FR	40.05.1100
AM FN FR-40.05.1400	AM FN FR	40.05.1400
AM FN FR-40.05.1600	AM FN FR	40.05.1600
AM FN FR-40.05.2100	AM FN FR	40.05.2100
AM FN FR-40.05.2101	AM FN FR	40.05.2101
AM FN FR-40.05.5000	AM FN FR	40.05.5000
AM FN FR-40.05.5001	AM FN FR	40.05.5001
AM FN FR-40.05.5002	AM FN FR	40.05.5002
AM FN FR-40.06.0008	AM FN FR	40.06.0008
AM FN FR-40.06.0019	AM FN FR	40.06.0019
AM FN FR-40.06.0071	AM FN FR	40.06.0071
AM FN FR-40.06.0072	AM FN FR	40.06.0072
AM FN FR-40.06.0073	AM FN FR	40.06.0073
AM FN FR-40.06.0074	AM FN FR	40.06.0074
AM FN FR-40.07.0024	AM FN FR	40.07.0024
AM FN FR-40.07.0025	AM FN FR	40.07.0025
AM FN FR-40.07.0029	AM FN FR	40.07.0029
AM FN FR-40.08.0001	AM FN FR	40.08.0001
AM FN FR-40.08.0003	AM FN FR	40.08.0003
AM FN FR-40.08.0011	AM FN FR	40.08.0011
AM FN FR-40.09.0002	AM FN FR	40.09.0002
AM FN FR-40.13.0011	AM FN FR	40.13.0011
AM FN FR-40.16.0014	AM FN FR	40.16.0014
AM FN FR-40.16.0015	AM FN FR	40.16.0015
AM FN FR-40.18.0006	AM FN FR	40.18.0006
AM FN FR-40.18.0007	AM FN FR	40.18.0007
AM FN FR-40.23.0001	AM FN FR	40.23.0001
AM FN FR-50.10.0011	AM FN FR	50.10.0011
AM FN FR-50.10.0012	AM FN FR	50.10.0012
AM FN FR-Outros	AM FN FR	Outros
AM FN-40.05.0001	AM FN	40.05.0001
AM FN-Outros	AM FN	Outros
AM FP VR-40.05.0001	AM FP VR	40.05.0001
AM FP-40.05.0001	AM FP	40.05.0001
AM FP-Outros	AM FP	Outros
AM FR-40.05.0001	AM FR	40.05.0001
AM FR-Outros	AM FR	Outros
AM VN-40.05.0001	AM VN	40.05.0001
AM VN-40.05.0025	AM VN	40.05.0025
AM VN-40.05.0026	AM VN	40.05.0026
AM VN-40.05.0037	AM VN	40.05.0037
AM VN-40.05.0041	AM VN	40.05.0041
AM VN-40.05.0061	AM VN	40.05.0061
AM VN-40.05.1100	AM VN	40.05.1100
AM VN-40.05.1101	AM VN	40.05.1101
AM VN-40.05.1102	AM VN	40.05.1102
AM VN-40.05.1104	AM VN	40.05.1104
AM VN-40.05.1105	AM VN	40.05.1105
AM VN-40.05.1106	AM VN	40.05.1106
AM VN-40.05.1400	AM VN	40.05.1400
AM VN-40.05.1401	AM VN	40.05.1401
AM VN-40.05.1600	AM VN	40.05.1600
AM VN-40.05.2100	AM VN	40.05.2100
AM VN-40.05.2101	AM VN	40.05.2101
AM VN-40.05.2102	AM VN	40.05.2102
AM VN-40.05.3113	AM VN	40.05.3113
AM VN-40.06.0051	AM VN	40.06.0051
AM VN-40.06.0052	AM VN	40.06.0052
AM VN-40.06.0053	AM VN	40.06.0053
AM VN-40.06.0055	AM VN	40.06.0055
AM VN-40.09.0001	AM VN	40.09.0001
AM VN-40.12.0014	AM VN	40.12.0014
AM VN-40.13.0015	AM VN	40.13.0015
AM VN-40.13.0016	AM VN	40.13.0016
AM VN-40.16.0014	AM VN	40.16.0014
AM VN-40.16.0015	AM VN	40.16.0015
AM VN-40.16.3000	AM VN	40.16.3000
AM VN-40.16.3001	AM VN	40.16.3001
AM VN-40.18.0008	AM VN	40.18.0008
AM VN-40.18.0009	AM VN	40.18.0009
AM VN-40.30.0016	AM VN	40.30.0016
AM VN-40.30.0027	AM VN	40.30.0027
AM VN-40.30.0028	AM VN	40.30.0028
AM VN-40.31.0001	AM VN	40.31.0001
AM VN-50.10.0006	AM VN	50.10.0006
AM VN-50.10.0011	AM VN	50.10.0011
AM VN-50.10.0012	AM VN	50.10.0012
AM VN-50.10.0013	AM VN	50.10.0013
AM VN-50.1000004980	AM VN	50.1000004980
AM VN-51.1000004003	AM VN	51.1000004003
AM VN-51.110A11121	AM VN	51.110A11121
AM VN-Outros	AM VN	Outros
AM VR-40.05.0001	AM VR	40.05.0001
AM VR-40.05.0018	AM VR	40.05.0018
AM VR-40.05.0025	AM VR	40.05.0025
AM VR-40.05.0026	AM VR	40.05.0026
AM VR-40.05.0031	AM VR	40.05.0031
AM VR-40.05.0035	AM VR	40.05.0035
AM VR-40.05.0037	AM VR	40.05.0037
AM VR-40.05.0039	AM VR	40.05.0039
AM VR-40.05.0041	AM VR	40.05.0041
AM VR-40.05.0048	AM VR	40.05.0048
AM VR-40.05.0050	AM VR	40.05.0050
AM VR-40.05.0061	AM VR	40.05.0061
AM VR-40.05.0083	AM VR	40.05.0083
AM VR-40.05.0101	AM VR	40.05.0101
AM VR-40.05.0143	AM VR	40.05.0143
AM VR-40.05.0150	AM VR	40.05.0150
AM VR-40.05.1001	AM VR	40.05.1001
AM VR-40.05.1100	AM VR	40.05.1100
AM VR-40.05.1101	AM VR	40.05.1101
AM VR-40.05.1102	AM VR	40.05.1102
AM VR-40.05.1104	AM VR	40.05.1104
AM VR-40.05.1105	AM VR	40.05.1105
AM VR-40.05.1106	AM VR	40.05.1106
AM VR-40.05.1400	AM VR	40.05.1400
AM VR-40.05.1401	AM VR	40.05.1401
AM VR-40.05.1600	AM VR	40.05.1600
AM VR-40.05.2000	AM VR	40.05.2000
AM VR-40.05.2100	AM VR	40.05.2100
AM VR-40.05.2101	AM VR	40.05.2101
AM VR-40.05.2102	AM VR	40.05.2102
AM VR-40.05.2103	AM VR	40.05.2103
AM VR-40.05.2106	AM VR	40.05.2106
AM VR-40.05.3101	AM VR	40.05.3101
AM VR-40.05.3315	AM VR	40.05.3315
AM VR-40.05.5000	AM VR	40.05.5000
AM VR-40.05.5001	AM VR	40.05.5001
AM VR-40.05.5002	AM VR	40.05.5002
AM VR-40.06.0008	AM VR	40.06.0008
AM VR-40.06.0019	AM VR	40.06.0019
AM VR-40.06.0020	AM VR	40.06.0020
AM VR-40.06.0021	AM VR	40.06.0021
AM VR-40.06.0022	AM VR	40.06.0022
AM VR-40.06.0023	AM VR	40.06.0023
AM VR-40.06.0051	AM VR	40.06.0051
AM VR-40.06.0052	AM VR	40.06.0052
AM VR-40.06.0053	AM VR	40.06.0053
AM VR-40.06.0055	AM VR	40.06.0055
AM VR-40.06.0071	AM VR	40.06.0071
AM VR-40.06.0072	AM VR	40.06.0072
AM VR-40.06.0073	AM VR	40.06.0073
AM VR-40.06.0074	AM VR	40.06.0074
AM VR-40.06.0082	AM VR	40.06.0082
AM VR-40.06.0089	AM VR	40.06.0089
AM VR-40.06.0095	AM VR	40.06.0095
AM VR-40.06.0096	AM VR	40.06.0096
AM VR-40.06.1001	AM VR	40.06.1001
AM VR-40.06.1002	AM VR	40.06.1002
AM VR-40.06.1003	AM VR	40.06.1003
AM VR-40.07.0003	AM VR	40.07.0003
AM VR-40.07.0007	AM VR	40.07.0007
AM VR-40.07.0024	AM VR	40.07.0024
AM VR-40.07.0025	AM VR	40.07.0025
AM VR-40.07.0029	AM VR	40.07.0029
AM VR-40.08.0001	AM VR	40.08.0001
AM VR-40.08.0003	AM VR	40.08.0003
AM VR-40.08.0011	AM VR	40.08.0011
AM VR-40.08.0012	AM VR	40.08.0012
AM VR-40.09.0001	AM VR	40.09.0001
AM VR-40.09.0002	AM VR	40.09.0002
AM VR-40.10.0001	AM VR	40.10.0001
AM VR-40.10.0002	AM VR	40.10.0002
AM VR-40.10.1000	AM VR	40.10.1000
AM VR-40.10.2000	AM VR	40.10.2000
AM VR-40.12.0003	AM VR	40.12.0003
AM VR-40.12.0004	AM VR	40.12.0004
AM VR-40.12.0014	AM VR	40.12.0014
AM VR-40.12.0020	AM VR	40.12.0020
AM VR-40.12.0021	AM VR	40.12.0021
AM VR-40.13.0002	AM VR	40.13.0002
AM VR-40.13.0011	AM VR	40.13.0011
AM VR-40.13.0013	AM VR	40.13.0013
AM VR-40.13.0015	AM VR	40.13.0015
AM VR-40.13.0016	AM VR	40.13.0016
AM VR-40.13.0026	AM VR	40.13.0026
AM VR-40.13.0028	AM VR	40.13.0028
AM VR-40.16.0014	AM VR	40.16.0014
AM VR-40.16.0015	AM VR	40.16.0015
AM VR-40.16.0016	AM VR	40.16.0016
AM VR-40.16.0030	AM VR	40.16.0030
AM VR-40.16.1009	AM VR	40.16.1009
AM VR-40.16.1010	AM VR	40.16.1010
AM VR-40.18.0006	AM VR	40.18.0006
AM VR-40.18.0007	AM VR	40.18.0007
AM VR-40.18.0008	AM VR	40.18.0008
AM VR-40.18.0009	AM VR	40.18.0009
AM VR-40.20.0001	AM VR	40.20.0001
AM VR-40.20.0005	AM VR	40.20.0005
AM VR-40.20.0007	AM VR	40.20.0007
AM VR-40.20.0014	AM VR	40.20.0014
AM VR-40.21.0002	AM VR	40.21.0002
AM VR-40.22.0001	AM VR	40.22.0001
AM VR-40.23.0000	AM VR	40.23.0000
AM VR-40.23.0001	AM VR	40.23.0001
AM VR-40.23.0002	AM VR	40.23.0002
AM VR-40.23.0003	AM VR	40.23.0003
AM VR-40.30.0008	AM VR	40.30.0008
AM VR-40.30.0016	AM VR	40.30.0016
AM VR-40.30.0027	AM VR	40.30.0027
AM VR-40.30.0028	AM VR	40.30.0028
AM VR-40.31.0001	AM VR	40.31.0001
AM VR-40.31.0003	AM VR	40.31.0003
AM VR-50.10.0006	AM VR	50.10.0006
AM VR-50.10.0011	AM VR	50.10.0011
AM VR-50.10.0012	AM VR	50.10.0012
AM VR-50.10.0013	AM VR	50.10.0013
AM VR-50.10.0020	AM VR	50.10.0020
AM VR-50.1000004880	AM VR	50.1000004880
AM VR-50.110A61091	AM VR	50.110A61091
AM VR-51.1000003999	AM VR	51.1000003999
AM VR-51.1000005434	AM VR	51.1000005434
AM VR-51.110A81091	AM VR	51.110A81091
AM VR-Outros	AM VR	Outros
BA CN-40.03.1810	BA CN	40.03.1810
BA CN-40.03.1870	BA CN	40.03.1870
BA CN-40.03.1871	BA CN	40.03.1871
BA CN-40.03.2110	BA CN	40.03.2110
BA CN-40.05.0001	BA CN	40.05.0001
BA CN-40.05.0026	BA CN	40.05.0026
BA CN-40.05.0031	BA CN	40.05.0031
BA CN-40.05.0035	BA CN	40.05.0035
BA CN-40.05.0041	BA CN	40.05.0041
BA CN-40.05.0050	BA CN	40.05.0050
BA CN-40.05.0061	BA CN	40.05.0061
BA CN-40.05.1100	BA CN	40.05.1100
BA CN-40.05.1101	BA CN	40.05.1101
BA CN-40.05.1102	BA CN	40.05.1102
BA CN-40.05.1105	BA CN	40.05.1105
BA CN-40.05.1106	BA CN	40.05.1106
BA CN-40.05.1401	BA CN	40.05.1401
BA CN-40.05.1600	BA CN	40.05.1600
BA CN-40.05.2100	BA CN	40.05.2100
BA CN-40.05.2101	BA CN	40.05.2101
BA CN-40.05.2103	BA CN	40.05.2103
BA CN-40.05.5001	BA CN	40.05.5001
BA CN-40.05.5002	BA CN	40.05.5002
BA CN-40.06.0051	BA CN	40.06.0051
BA CN-40.06.0052	BA CN	40.06.0052
BA CN-40.06.0053	BA CN	40.06.0053
BA CN-40.09.0001	BA CN	40.09.0001
BA CN-40.13.0026	BA CN	40.13.0026
BA CN-40.16.0014	BA CN	40.16.0014
BA CN-40.16.0015	BA CN	40.16.0015
BA CN-40.16.0016	BA CN	40.16.0016
BA CN-40.18.0008	BA CN	40.18.0008
BA CN-40.31.0001	BA CN	40.31.0001
BA CN-40.31.0003	BA CN	40.31.0003
BA CN-50.10.0006	BA CN	50.10.0006
BA CN-50.10.0013	BA CN	50.10.0013
BA CN-50.1000004980	BA CN	50.1000004980
BA CN-50.1000005434	BA CN	50.1000005434
BA CN-51.1000003999	BA CN	51.1000003999
BA CN-51.1000005434	BA CN	51.1000005434
BA CR-40.03.1713	BA CR	40.03.1713
BA CR-40.03.1810	BA CR	40.03.1810
BA CR-40.05.0001	BA CR	40.05.0001
BA CR-40.05.0025	BA CR	40.05.0025
BA CR-40.05.0026	BA CR	40.05.0026
BA CR-40.05.0031	BA CR	40.05.0031
BA CR-40.05.0037	BA CR	40.05.0037
BA CR-40.05.0041	BA CR	40.05.0041
BA CR-40.05.0061	BA CR	40.05.0061
BA CR-40.05.0101	BA CR	40.05.0101
BA CR-40.05.1100	BA CR	40.05.1100
BA CR-40.05.1101	BA CR	40.05.1101
BA CR-40.05.1102	BA CR	40.05.1102
BA CR-40.05.1104	BA CR	40.05.1104
BA CR-40.05.1105	BA CR	40.05.1105
BA CR-40.05.1106	BA CR	40.05.1106
BA CR-40.05.1401	BA CR	40.05.1401
BA CR-40.05.1600	BA CR	40.05.1600
BA CR-40.05.2000	BA CR	40.05.2000
BA CR-40.05.2100	BA CR	40.05.2100
BA CR-40.05.2101	BA CR	40.05.2101
BA CR-40.05.2102	BA CR	40.05.2102
BA CR-40.05.2103	BA CR	40.05.2103
BA CR-40.05.5000	BA CR	40.05.5000
BA CR-40.05.5001	BA CR	40.05.5001
BA CR-40.06.0008	BA CR	40.06.0008
BA CR-40.06.0020	BA CR	40.06.0020
BA CR-40.06.0022	BA CR	40.06.0022
BA CR-40.06.0023	BA CR	40.06.0023
BA CR-40.06.0051	BA CR	40.06.0051
BA CR-40.06.0052	BA CR	40.06.0052
BA CR-40.06.0053	BA CR	40.06.0053
BA CR-40.06.0072	BA CR	40.06.0072
BA CR-40.06.0073	BA CR	40.06.0073
BA CR-40.06.0082	BA CR	40.06.0082
BA CR-40.06.0089	BA CR	40.06.0089
BA CR-40.06.0096	BA CR	40.06.0096
BA CR-40.06.1001	BA CR	40.06.1001
BA CR-40.06.1002	BA CR	40.06.1002
BA CR-40.06.1003	BA CR	40.06.1003
BA CR-40.07.0024	BA CR	40.07.0024
BA CR-40.07.0029	BA CR	40.07.0029
BA CR-40.08.0001	BA CR	40.08.0001
BA CR-40.08.0003	BA CR	40.08.0003
BA CR-40.08.0011	BA CR	40.08.0011
BA CR-40.08.0012	BA CR	40.08.0012
BA CR-40.10.0001	BA CR	40.10.0001
BA CR-40.12.0003	BA CR	40.12.0003
BA CR-40.12.0004	BA CR	40.12.0004
BA CR-40.13.0002	BA CR	40.13.0002
BA CR-40.13.0011	BA CR	40.13.0011
BA CR-40.13.0013	BA CR	40.13.0013
BA CR-40.13.0028	BA CR	40.13.0028
BA CR-40.16.0014	BA CR	40.16.0014
BA CR-40.16.0015	BA CR	40.16.0015
BA CR-40.16.0016	BA CR	40.16.0016
BA CR-40.18.0006	BA CR	40.18.0006
BA CR-40.20.0005	BA CR	40.20.0005
BA CR-40.20.0007	BA CR	40.20.0007
BA CR-40.22.0001	BA CR	40.22.0001
BA CR-40.23.0000	BA CR	40.23.0000
BA CR-40.23.0001	BA CR	40.23.0001
BA CR-40.23.0002	BA CR	40.23.0002
BA CR-40.30.0016	BA CR	40.30.0016
BA CR-40.30.0027	BA CR	40.30.0027
BA CR-40.30.0028	BA CR	40.30.0028
BA CR-40.31.0001	BA CR	40.31.0001
BA CR-40.31.0003	BA CR	40.31.0003
BA CR-50.10.0006	BA CR	50.10.0006
BA CR-50.10.0013	BA CR	50.10.0013
BA CR-50.1000005434	BA CR	50.1000005434
BA CR-51.1000004003	BA CR	51.1000004003
BA CR-Outros	BA CR	Outros
BA FN FR-40.05.0001	BA FN FR	40.05.0001
BA FN FR-40.05.0026	BA FN FR	40.05.0026
BA FN FR-40.05.0031	BA FN FR	40.05.0031
BA FN FR-40.05.0035	BA FN FR	40.05.0035
BA FN FR-40.05.0037	BA FN FR	40.05.0037
BA FN FR-40.05.0041	BA FN FR	40.05.0041
BA FN FR-40.05.0050	BA FN FR	40.05.0050
BA FN FR-40.05.0061	BA FN FR	40.05.0061
BA FN FR-40.05.0101	BA FN FR	40.05.0101
BA FN FR-40.05.0143	BA FN FR	40.05.0143
BA FN FR-40.05.0150	BA FN FR	40.05.0150
BA FN FR-40.05.1001	BA FN FR	40.05.1001
BA FN FR-40.05.1100	BA FN FR	40.05.1100
BA FN FR-40.05.1101	BA FN FR	40.05.1101
BA FN FR-40.05.1106	BA FN FR	40.05.1106
BA FN FR-40.05.1400	BA FN FR	40.05.1400
BA FN FR-40.05.1600	BA FN FR	40.05.1600
BA FN FR-40.05.2000	BA FN FR	40.05.2000
BA FN FR-40.05.2100	BA FN FR	40.05.2100
BA FN FR-40.05.2101	BA FN FR	40.05.2101
BA FN FR-40.05.2102	BA FN FR	40.05.2102
BA FN FR-40.05.2103	BA FN FR	40.05.2103
BA FN FR-40.05.5000	BA FN FR	40.05.5000
BA FN FR-40.05.5001	BA FN FR	40.05.5001
BA FN FR-40.05.5002	BA FN FR	40.05.5002
BA FN FR-40.06.0008	BA FN FR	40.06.0008
BA FN FR-40.06.0019	BA FN FR	40.06.0019
BA FN FR-40.06.0020	BA FN FR	40.06.0020
BA FN FR-40.06.0021	BA FN FR	40.06.0021
BA FN FR-40.06.0022	BA FN FR	40.06.0022
BA FN FR-40.06.0023	BA FN FR	40.06.0023
BA FN FR-40.06.0052	BA FN FR	40.06.0052
BA FN FR-40.06.0071	BA FN FR	40.06.0071
BA FN FR-40.06.0072	BA FN FR	40.06.0072
BA FN FR-40.06.0073	BA FN FR	40.06.0073
BA FN FR-40.06.0074	BA FN FR	40.06.0074
BA FN FR-40.06.0082	BA FN FR	40.06.0082
BA FN FR-40.06.0089	BA FN FR	40.06.0089
BA FN FR-40.06.1001	BA FN FR	40.06.1001
BA FN FR-40.06.1002	BA FN FR	40.06.1002
BA FN FR-40.06.1003	BA FN FR	40.06.1003
BA FN FR-40.07.0003	BA FN FR	40.07.0003
BA FN FR-40.07.0006	BA FN FR	40.07.0006
BA FN FR-40.07.0007	BA FN FR	40.07.0007
BA FN FR-40.07.0024	BA FN FR	40.07.0024
BA FN FR-40.07.0025	BA FN FR	40.07.0025
BA FN FR-40.07.0029	BA FN FR	40.07.0029
BA FN FR-40.08.0001	BA FN FR	40.08.0001
BA FN FR-40.08.0003	BA FN FR	40.08.0003
BA FN FR-40.08.0011	BA FN FR	40.08.0011
BA FN FR-40.08.0012	BA FN FR	40.08.0012
BA FN FR-40.09.0001	BA FN FR	40.09.0001
BA FN FR-40.09.0002	BA FN FR	40.09.0002
BA FN FR-40.09.0005	BA FN FR	40.09.0005
BA FN FR-40.10.1000	BA FN FR	40.10.1000
BA FN FR-40.10.2000	BA FN FR	40.10.2000
BA FN FR-40.12.0003	BA FN FR	40.12.0003
BA FN FR-40.12.0004	BA FN FR	40.12.0004
BA FN FR-40.12.0014	BA FN FR	40.12.0014
BA FN FR-40.12.0020	BA FN FR	40.12.0020
BA FN FR-40.12.0021	BA FN FR	40.12.0021
BA FN FR-40.13.0002	BA FN FR	40.13.0002
BA FN FR-40.13.0011	BA FN FR	40.13.0011
BA FN FR-40.13.0013	BA FN FR	40.13.0013
BA FN FR-40.13.0016	BA FN FR	40.13.0016
BA FN FR-40.13.0026	BA FN FR	40.13.0026
BA FN FR-40.13.0028	BA FN FR	40.13.0028
BA FN FR-40.15.0011	BA FN FR	40.15.0011
BA FN FR-40.16.0014	BA FN FR	40.16.0014
BA FN FR-40.16.0016	BA FN FR	40.16.0016
BA FN FR-40.18.0006	BA FN FR	40.18.0006
BA FN FR-40.18.0007	BA FN FR	40.18.0007
BA FN FR-40.20.0001	BA FN FR	40.20.0001
BA FN FR-40.20.0005	BA FN FR	40.20.0005
BA FN FR-40.20.0007	BA FN FR	40.20.0007
BA FN FR-40.21.0002	BA FN FR	40.21.0002
BA FN FR-40.22.0001	BA FN FR	40.22.0001
BA FN FR-40.23.0000	BA FN FR	40.23.0000
BA FN FR-40.23.0001	BA FN FR	40.23.0001
BA FN FR-40.30.0008	BA FN FR	40.30.0008
BA FN FR-40.30.0027	BA FN FR	40.30.0027
BA FN FR-40.30.0028	BA FN FR	40.30.0028
BA FN FR-40.31.0001	BA FN FR	40.31.0001
BA FN FR-40.31.0003	BA FN FR	40.31.0003
BA FN FR-40.50.0300	BA FN FR	40.50.0300
BA FN FR-50.10.0006	BA FN FR	50.10.0006
BA FN FR-50.10.0011	BA FN FR	50.10.0011
BA FN FR-50.10.0012	BA FN FR	50.10.0012
BA FN FR-50.10.0013	BA FN FR	50.10.0013
BA FN FR-51.1000003022	BA FN FR	51.1000003022
BA FN FR-51.1000003999	BA FN FR	51.1000003999
BA FN FR-51.1000005434	BA FN FR	51.1000005434
BA FN FR-51.110A11121	BA FN FR	51.110A11121
BA FN FR-51.110A71091	BA FN FR	51.110A71091
BA FN FR-51.110A81091	BA FN FR	51.110A81091
BA FN FR-Outros	BA FN FR	Outros
BA FN-40.05.0001	BA FN	40.05.0001
BA FN-40.05.0031	BA FN	40.05.0031
BA FN-40.05.0035	BA FN	40.05.0035
BA FN-40.05.0037	BA FN	40.05.0037
BA FN-40.05.0050	BA FN	40.05.0050
BA FN-40.05.0061	BA FN	40.05.0061
BA FN-40.05.0143	BA FN	40.05.0143
BA FN-40.05.0150	BA FN	40.05.0150
BA FN-40.05.1100	BA FN	40.05.1100
BA FN-40.05.1106	BA FN	40.05.1106
BA FN-40.06.0008	BA FN	40.06.0008
BA FN-40.06.0019	BA FN	40.06.0019
BA FN-40.06.0020	BA FN	40.06.0020
BA FN-40.06.0022	BA FN	40.06.0022
BA FN-40.06.0023	BA FN	40.06.0023
BA FN-40.06.0071	BA FN	40.06.0071
BA FN-40.06.0072	BA FN	40.06.0072
BA FN-40.06.0073	BA FN	40.06.0073
BA FN-40.06.0074	BA FN	40.06.0074
BA FN-40.06.0082	BA FN	40.06.0082
BA FN-40.06.0089	BA FN	40.06.0089
BA FN-40.06.1001	BA FN	40.06.1001
BA FN-40.07.0003	BA FN	40.07.0003
BA FN-40.07.0006	BA FN	40.07.0006
BA FN-40.07.0007	BA FN	40.07.0007
BA FN-40.08.0001	BA FN	40.08.0001
BA FN-40.08.0003	BA FN	40.08.0003
BA FN-40.08.0012	BA FN	40.08.0012
BA FN-40.09.0002	BA FN	40.09.0002
BA FN-40.10.2000	BA FN	40.10.2000
BA FN-40.12.0003	BA FN	40.12.0003
BA FN-40.12.0004	BA FN	40.12.0004
BA FN-40.12.0020	BA FN	40.12.0020
BA FN-40.12.0021	BA FN	40.12.0021
BA FN-40.13.0002	BA FN	40.13.0002
BA FN-40.13.0011	BA FN	40.13.0011
BA FN-40.13.0013	BA FN	40.13.0013
BA FN-40.13.0016	BA FN	40.13.0016
BA FN-40.13.0018	BA FN	40.13.0018
BA FN-40.13.0026	BA FN	40.13.0026
BA FN-40.13.0028	BA FN	40.13.0028
BA FN-40.16.0014	BA FN	40.16.0014
BA FN-40.16.0016	BA FN	40.16.0016
BA FN-40.18.0005	BA FN	40.18.0005
BA FN-40.18.0006	BA FN	40.18.0006
BA FN-40.18.0007	BA FN	40.18.0007
BA FN-40.20.0001	BA FN	40.20.0001
BA FN-40.20.0005	BA FN	40.20.0005
BA FN-40.20.0007	BA FN	40.20.0007
BA FN-40.21.0002	BA FN	40.21.0002
BA FN-40.22.0001	BA FN	40.22.0001
BA FN-40.23.0000	BA FN	40.23.0000
BA FN-40.23.0001	BA FN	40.23.0001
BA FN-40.31.0001	BA FN	40.31.0001
BA FN-40.31.0003	BA FN	40.31.0003
BA FN-50.10.0006	BA FN	50.10.0006
BA FN-50.10.0011	BA FN	50.10.0011
BA FN-Outros	BA FN	Outros
BA FP VR-40.02.1072	BA FP VR	40.02.1072
BA FP VR-40.03.1013	BA FP VR	40.03.1013
BA FP VR-40.03.1112	BA FP VR	40.03.1112
BA FP VR-40.05.0001	BA FP VR	40.05.0001
BA FP VR-40.05.0018	BA FP VR	40.05.0018
BA FP VR-40.05.0025	BA FP VR	40.05.0025
BA FP VR-40.05.0026	BA FP VR	40.05.0026
BA FP VR-40.05.0031	BA FP VR	40.05.0031
BA FP VR-40.05.0037	BA FP VR	40.05.0037
BA FP VR-40.05.0041	BA FP VR	40.05.0041
BA FP VR-40.05.0050	BA FP VR	40.05.0050
BA FP VR-40.05.0101	BA FP VR	40.05.0101
BA FP VR-40.05.0150	BA FP VR	40.05.0150
BA FP VR-40.05.1001	BA FP VR	40.05.1001
BA FP VR-40.05.1100	BA FP VR	40.05.1100
BA FP VR-40.05.1101	BA FP VR	40.05.1101
BA FP VR-40.05.1104	BA FP VR	40.05.1104
BA FP VR-40.05.1105	BA FP VR	40.05.1105
BA FP VR-40.05.1106	BA FP VR	40.05.1106
BA FP VR-40.05.1400	BA FP VR	40.05.1400
BA FP VR-40.05.2000	BA FP VR	40.05.2000
BA FP VR-40.05.2100	BA FP VR	40.05.2100
BA FP VR-40.05.2101	BA FP VR	40.05.2101
BA FP VR-40.05.2102	BA FP VR	40.05.2102
BA FP VR-40.05.2103	BA FP VR	40.05.2103
BA FP VR-40.05.5001	BA FP VR	40.05.5001
BA FP VR-40.05.5002	BA FP VR	40.05.5002
BA FP VR-40.06.0008	BA FP VR	40.06.0008
BA FP VR-40.06.0019	BA FP VR	40.06.0019
BA FP VR-40.06.0020	BA FP VR	40.06.0020
BA FP VR-40.06.0021	BA FP VR	40.06.0021
BA FP VR-40.06.0022	BA FP VR	40.06.0022
BA FP VR-40.06.0023	BA FP VR	40.06.0023
BA FP VR-40.06.0053	BA FP VR	40.06.0053
BA FP VR-40.06.0071	BA FP VR	40.06.0071
BA FP VR-40.06.0072	BA FP VR	40.06.0072
BA FP VR-40.06.0073	BA FP VR	40.06.0073
BA FP VR-40.06.0074	BA FP VR	40.06.0074
BA FP VR-40.06.0082	BA FP VR	40.06.0082
BA FP VR-40.06.0089	BA FP VR	40.06.0089
BA FP VR-40.06.0095	BA FP VR	40.06.0095
BA FP VR-40.06.1001	BA FP VR	40.06.1001
BA FP VR-40.06.1002	BA FP VR	40.06.1002
BA FP VR-40.06.1003	BA FP VR	40.06.1003
BA FP VR-40.07.0003	BA FP VR	40.07.0003
BA FP VR-40.07.0006	BA FP VR	40.07.0006
BA FP VR-40.07.0007	BA FP VR	40.07.0007
BA FP VR-40.07.0024	BA FP VR	40.07.0024
BA FP VR-40.07.0025	BA FP VR	40.07.0025
BA FP VR-40.07.0029	BA FP VR	40.07.0029
BA FP VR-40.08.0001	BA FP VR	40.08.0001
BA FP VR-40.08.0003	BA FP VR	40.08.0003
BA FP VR-40.08.0011	BA FP VR	40.08.0011
BA FP VR-40.09.0002	BA FP VR	40.09.0002
BA FP VR-40.10.0002	BA FP VR	40.10.0002
BA FP VR-40.10.1000	BA FP VR	40.10.1000
BA FP VR-40.10.2000	BA FP VR	40.10.2000
BA FP VR-40.12.0003	BA FP VR	40.12.0003
